symbol,exchange,date,underlying_price,option_symbol,expiration,strike,call_put,style,ask,bid,mean_price,volume,open_interest,iv,iv_raw,delta,gamma,vega,theta,rho,oi_2,option_id,trade_date_fetch
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00638000,2025-03-21,638.0,C,A,0.75,0.73,0.74,0,597.65,0.114298,0.114298,0.070094,0.005544,0.284985,-0.039634,0.051815,94,914,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00637000,2025-03-21,637.0,C,A,0.83,0.81,0.82,0,597.65,0.114728,0.114728,0.076231,0.00589,0.303888,-0.042492,0.056333,421,653,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00405000,2025-03-31,405.0,C,A,197.12,193.88,195.5,0,597.65,0.545847,0.545847,0.972457,0.000466,0.13932,-0.093429,0.591302,0,2925,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00425000,2025-03-31,425.0,C,A,177.31,174.07,175.69,0,597.65,0.491798,0.491798,0.968777,0.000579,0.155852,-0.096144,0.618301,0,443,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00642000,2025-03-21,642.0,C,A,0.51,0.49,0.5,0,597.65,0.113492,0.113492,0.050396,0.004311,0.220067,-0.030193,0.037295,89,390,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00420000,2025-03-31,420.0,C,A,182.26,179.12,180.69,0,597.65,0.508278,0.508278,0.969075,0.000555,0.15453,-0.097257,0.610909,0,6142,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00440000,2025-03-31,440.0,C,A,162.51,159.35,160.93,0,597.65,0.457788,0.457788,0.964037,0.000704,0.176451,-0.101357,0.636586,0,117,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00450000,2025-03-31,450.0,C,A,152.58,149.47,151.025,0,597.65,0.431407,0.431407,0.961542,0.000792,0.187006,-0.102323,0.649486,0,175,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00395000,2025-03-31,395.0,C,A,207.03,203.95,205.48999,0,597.65,0.579785,0.579785,0.972983,0.000431,0.136913,-0.095242,0.576468,0,1070,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00460000,2025-03-31,460.0,C,A,142.9,139.59,141.245,0,597.65,0.411456,0.411456,0.956702,0.000919,0.206973,-0.107253,0.660045,0,76,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00435000,2025-03-31,435.0,C,A,167.41,164.03,165.72,0,597.65,0.461303,0.461303,0.96769,0.000636,0.160644,-0.095007,0.632589,1,109,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00445000,2025-03-31,445.0,C,A,157.73,154.41,156.07,0,597.65,0.449573,0.449573,0.961384,0.000762,0.187668,-0.105014,0.641606,0,240,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00410000,2025-03-31,410.0,C,A,192.16,188.79,190.475,0,597.65,0.52705,0.52705,0.97261,0.00048,0.138621,-0.091367,0.599146,0,60,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00470000,2025-03-31,470.0,C,A,133.03,129.72,131.375,0,597.65,0.386787,0.386787,0.952912,0.001049,0.222171,-0.108931,0.671704,0,148,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00465000,2025-03-31,465.0,C,A,137.96,134.65,136.305,0,597.65,0.398887,0.398887,0.954943,0.00098,0.214075,-0.107961,0.666006,0,68,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00474000,2025-03-31,474.0,C,A,129.08,125.8,127.44,0,597.65,0.377488,0.377488,0.951049,0.00111,0.229511,-0.109937,0.67603,0,12,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00473000,2025-03-31,473.0,C,A,129.87,126.76,128.315,0,597.65,0.374959,0.374959,0.95342,0.001072,0.220156,-0.106298,0.676861,0,10,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00471000,2025-03-31,471.0,C,A,132.04,128.73,130.385,0,597.65,0.384186,0.384186,0.952561,0.001063,0.22356,-0.108992,0.6729,1,7,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250331C00478000,2025-03-31,478.0,C,A,125.14,121.83,123.485,0,597.65,0.367305,0.367305,0.949452,0.001172,0.235737,-0.110283,0.68063,0,12,2025-02-03
