open,high,low,close,volume,trade_count,vwap
474.95,475.13,473.9066,474.96,9417025.0,3078.0,474.952042
474.98,475.09,474.9,475.0609,211269.0,695.0,475.00706
475.0701,475.14,474.95,475.02,190314.0,660.0,475.006199
475.0,475.15,474.98,475.03,89604.0,337.0,475.077957
475.03,475.07,474.99,474.99,8984.0,139.0,475.04146
475.0,475.06,474.93,474.99,21982.0,184.0,474.961862
475.05,475.05,474.97,474.98,4886.0,73.0,474.991641
474.98,475.04,474.96,474.99,6857.0,99.0,474.991484
475.03,475.1,474.93,475.04,25854.0,198.0,474.995584
475.0,475.08,474.99,475.05,5262.0,77.0,475.051786
474.93,474.93,474.91,474.91,5805.0,62.0,474.920901
474.9,475.1,474.9,475.1,8368.0,77.0,474.969536
475.08,475.09,474.91,474.97,13136.0,139.0,474.962823
474.88,474.92,474.75,474.85,23212.0,127.0,474.843825
474.8,474.86,474.61,474.61,13592.0,165.0,474.730084
474.66,474.8099,474.61,474.75,8177.0,103.0,474.725536
472.6,472.87,472.16,472.17,16536.0,173.0,472.472892
472.11,472.65,472.11,472.61,11873.0,67.0,472.291268
472.78,472.91,472.78,472.84,1699.0,62.0,472.847366
472.78,473.02,472.77,472.97,13977.0,104.0,472.969091
473.01,473.12,473.01,473.09,2764.0,10.0,473.092981
473.01,473.08,472.77,472.77,5213.0,43.0,472.963875
472.76,472.8,472.66,472.66,2286.0,23.0,472.755814
472.75,472.85,472.58,472.85,5542.0,35.0,472.695097
472.65,472.74,472.5,472.5,1778.0,21.0,472.557033
472.56,472.73,472.51,472.71,5008.0,92.0,472.602912
472.94,473.2,472.9,473.1,13771.0,99.0,472.962723
473.1,473.17,473.0,473.11,6987.0,39.0,473.101544
473.19,473.31,473.05,473.21,97630.0,423.0,473.169451
473.22,473.67,473.22,473.5,56199.0,448.0,473.513881
473.48,473.55,473.28,473.3,23986.0,218.0,473.428936
473.28,473.58,473.2,473.26,74023.0,371.0,473.307219
473.4601,473.82,472.46,473.14,179569.0,1942.0,473.092186
473.12,473.12,472.77,472.86,47587.0,389.0,472.899788
472.85,474.77,472.2,472.2,211776.0,1193.0,472.606614
472.2,472.2,471.8,471.97,174533.0,1255.0,471.949777
471.99,472.2,471.73,472.18,99430.0,826.0,472.01122
472.18,472.35,471.73,471.82,229090.0,1307.0,471.871431
471.82,471.94,471.17,471.28,4958609.0,44943.0,471.536359
471.27,471.775,471.05,471.325,2971060.0,27294.0,471.309088
471.32,472.1503,471.05,472.105,4282593.0,35175.0,471.713173
472.11,472.26,471.305,471.84,3253930.0,25971.0,471.725213
471.82,472.32,471.5,471.91,2167066.0,20606.0,471.924749
471.91,472.36,471.72,472.02,1599377.0,15815.0,472.00811
472.02,472.77,472.0,472.42,2270310.0,17695.0,472.504739
472.43,472.78,472.23,472.5,1565387.0,14436.0,472.577892
472.505,472.79,472.37,472.6999,1348066.0,12053.0,472.62157
472.7,472.79,472.13,472.1789,1669122.0,12316.0,472.370472
472.18,472.3,471.72,472.069,1429482.0,12683.0,472.000593
472.06,472.1123,471.4098,471.52,1424287.0,13198.0,471.675631
471.53,471.68,471.12,471.3299,1478499.0,13574.0,471.428033
471.32,471.935,471.21,471.68,1681393.0,12965.0,471.592797
471.68,472.04,471.1201,471.19,1340823.0,11073.0,471.627569
471.2,471.2,470.45,470.69,1821083.0,17022.0,470.808724
470.69,470.74,470.08,470.32,1870486.0,17237.0,470.389864
470.33,470.77,469.87,470.6602,2901124.0,21675.0,470.32599
470.6699,471.01,470.52,470.5603,1704587.0,13258.0,470.741124
470.56,471.4,470.55,471.215,1759662.0,15657.0,471.07923
471.22,471.74,471.19,471.7003,1758575.0,15179.0,471.400942
471.71,471.765,471.39,471.47,1533296.0,13248.0,471.535476
471.47,471.55,470.71,470.76,1853363.0,16085.0,471.108629
470.77,471.21,470.67,470.8789,1785034.0,15928.0,470.92803
470.88,471.83,470.83,471.6,2721985.0,22215.0,471.459042
471.6,472.61,471.6,472.275,7137507.0,46364.0,472.3011
472.27,472.39,471.2009,472.08,5744179.0,2803.0,472.24428
472.09,472.18,472.07,472.11,622041.0,1085.0,472.120224
472.1,472.19,472.05,472.11,499950.0,750.0,472.162056
472.12,472.16,472.1,472.13,47723.0,268.0,472.12291
472.09,472.14,472.05,472.11,28073.0,111.0,472.087988
472.14,472.19,472.09,472.14,183737.0,90.0,472.127137
472.15,472.18,472.03,472.05,4457.0,211.0,472.063994
472.05,472.07,472.01,472.03,4419.0,89.0,472.037545
472.03,472.06,471.75,471.85,20332.0,191.0,471.969528
471.9305,472.24,471.9305,472.22,24825.0,198.0,472.140808
472.25,472.25,472.11,472.16,3804.0,64.0,472.153173
472.24,472.25,472.14,472.2,28783.0,114.0,472.197111
472.15,472.17,471.95,472.17,6866.0,100.0,472.086033
472.2,472.25,472.08,472.08,3815.0,65.0,472.177148
472.06,472.21,472.06,472.2,2511.0,43.0,472.17931
472.2,472.32,472.2,472.32,35348.0,217.0,472.293333
472.64,473.01,472.62,472.9,8298.0,72.0,472.858028
472.82,472.95,472.76,472.91,3456.0,40.0,472.85878
472.87,473.14,472.85,472.86,7205.0,51.0,472.937938
472.81,472.92,472.79,472.85,1937.0,26.0,472.833041
472.83,472.87,472.62,472.66,2211.0,35.0,472.755465
472.77,472.83,472.7,472.78,12423.0,59.0,472.805274
472.77,472.86,472.77,472.86,1127.0,11.0,472.841433
472.87,473.46,472.87,473.43,5376.0,53.0,473.245045
473.5,473.88,473.5,473.88,20380.0,123.0,473.790778
473.85,473.9,473.72,473.9,5019.0,56.0,473.820862
473.86,474.17,473.73,474.16,123778.0,309.0,473.889931
474.17,474.21,474.01,474.15,13406.0,124.0,474.122364
474.13,474.49,474.0,474.37,67813.0,444.0,474.260535
474.31,474.59,474.31,474.4,23958.0,192.0,474.470199
474.42,474.67,474.4,474.51,59466.0,438.0,474.500101
474.53,474.62,474.3,474.34,63542.0,308.0,474.449801
474.34,474.63,472.04,474.47,140799.0,1521.0,474.198247
474.42,474.69,474.4,474.6005,78688.0,556.0,474.575787
474.6,475.16,473.81,473.88,328255.0,1741.0,474.418833
473.83,474.15,473.69,473.72,143498.0,956.0,473.951469
473.76,474.63,473.76,474.51,233356.0,1383.0,474.398492
474.54,474.58,473.77,474.0,213753.0,1550.0,474.124811
474.01,474.47,473.65,473.75,4511359.0,41301.0,474.055168
473.76,474.0299,473.39,473.87,3296825.0,20453.0,473.672507
473.875,474.199,473.395,474.14,2351030.0,24766.0,473.81142
474.13,474.349,473.53,474.16,2241742.0,27107.0,474.052132
474.195,474.83,473.785,474.695,3126084.0,23076.0,474.38896
474.7,474.88,474.02,474.2701,2382402.0,16843.0,474.520324
474.28,474.31,473.66,474.22,2399663.0,16949.0,473.982819
474.23,474.78,474.17,474.6866,2198339.0,13604.0,474.533549
474.69,475.03,474.43,474.53,2318657.0,16565.0,474.780588
474.53,474.7999,474.1888,474.4687,2262878.0,13624.0,474.493807
474.47,474.5521,473.04,473.525,3578982.0,25782.0,473.580198
473.5296,473.885,473.265,473.59,1640877.0,12651.0,473.544399
473.6,473.6,473.0,473.515,2133841.0,13253.0,473.285123
473.515,473.66,473.07,473.18,1436984.0,12083.0,473.404928
473.19,473.21,472.42,472.79,3129768.0,17145.0,472.801557
472.79,472.99,472.47,472.73,2004022.0,14938.0,472.741498
472.74,473.99,472.7,473.87,2508932.0,14483.0,473.43602
473.89,474.1299,473.69,473.9801,1592359.0,12757.0,473.950737
473.98,474.78,473.975,474.695,2650510.0,17805.0,474.404477
474.7,475.66,474.66,475.62,3617911.0,22223.0,475.179217
475.62,475.9499,475.3,475.3499,3098249.0,21590.0,475.664549
475.35,475.89,474.94,475.74,2529313.0,17529.0,475.458192
475.75,476.26,475.59,476.01,3090400.0,18673.0,475.915886
476.03,476.41,475.945,476.41,3708136.0,17278.0,476.197031
476.41,476.52,475.9,476.35,2834765.0,25802.0,476.28645
476.345,477.06,476.24,476.46,11052358.0,63327.0,476.585343
476.46,476.68,474.2002,476.31,11221873.0,2783.0,476.446551
476.31,476.67,476.31,476.62,719483.0,928.0,476.519566
476.62,476.64,476.53,476.55,117131.0,471.0,476.583495
476.51,476.65,476.47,476.5,41670.0,286.0,476.531151
476.5,476.54,476.49,476.51,279644.0,173.0,476.506362
476.51,476.54,476.51,476.54,5408.0,71.0,476.519247
476.54,476.56,476.52,476.52,2775.0,53.0,476.543714
476.54,476.6,476.52,476.6,10489.0,114.0,476.545853
476.52,476.52,476.31,476.46,39063.0,262.0,476.416835
476.43,476.58,476.43,476.51,34975.0,131.0,476.528926
476.49,476.57,476.43,476.54,5213.0,109.0,476.501517
476.44,476.88,476.44,476.88,49518.0,252.0,476.727519
476.84,476.87,476.57,476.58,16684.0,198.0,476.730338
476.58,476.85,476.58,476.83,7175.0,66.0,476.803118
476.84,476.86,476.77,476.81,5710.0,111.0,476.823955
476.7,476.74,476.63,476.74,38082.0,255.0,476.671769
477.84,478.4,477.2,478.4,38843.0,193.0,477.973819
478.4,478.58,478.35,478.55,12872.0,96.0,478.479776
478.48,478.48,477.85,477.85,16385.0,100.0,478.024407
477.97,478.43,477.97,478.42,5595.0,44.0,478.195028
478.36,478.44,478.25,478.34,3184.0,36.0,478.362281
478.38,478.38,478.16,478.25,7295.0,58.0,478.259334
478.26,478.47,478.16,478.45,5330.0,42.0,478.351708
478.37,478.65,478.37,478.62,9370.0,61.0,478.503351
478.5,478.72,478.46,478.69,5825.0,177.0,478.607203
478.66,478.66,478.59,478.65,3462.0,51.0,478.63643
478.67,478.99,478.67,478.99,16420.0,102.0,478.913885
478.92,478.98,478.74,478.83,13244.0,66.0,478.865832
478.88,478.9,477.92,478.72,140431.0,653.0,478.584662
478.69,478.69,478.48,478.55,82466.0,401.0,478.556448
478.5,478.59,478.36,478.4,76518.0,418.0,478.491752
478.39,478.97,478.36,478.91,110398.0,558.0,478.743445
478.8805,479.45,476.84,479.44,157778.0,1705.0,479.007744
479.43,479.47,476.49,476.49,192462.0,621.0,477.344966
479.0,479.21,478.68,478.76,84772.0,744.0,479.014211
478.74,478.87,478.43,478.51,78114.0,686.0,478.693629
478.51,478.63,478.13,478.23,170913.0,1139.0,478.423676
478.19,478.33,477.56,477.65,456170.0,2241.0,477.921573
477.65,477.97,476.94,477.05,4825984.0,38798.0,477.416543
477.05,477.92,476.97,477.92,2934993.0,20172.0,477.444349
477.91,478.384,476.9901,477.3491,4778319.0,39678.0,477.638797
477.35,478.0599,477.28,477.95,2330354.0,18941.0,477.689304
477.94,478.165,477.34,478.145,2487441.0,19208.0,477.770744
478.145,478.56,477.7209,478.2803,2455933.0,18899.0,478.167085
478.3,479.28,478.01,478.785,2352118.0,21249.0,478.678293
478.78,479.14,478.75,478.85,10429254.0,17899.0,478.920397
478.845,478.8784,478.21,478.46,2070878.0,17591.0,478.54036
478.46,478.93,478.2,478.87,1998357.0,14866.0,478.555613
478.88,479.03,478.28,478.74,1886731.0,13730.0,478.665208
478.76,479.51,478.6863,479.35,1762949.0,14037.0,479.076553
479.38,480.02,479.28,479.74,3915190.0,31471.0,479.649441
479.73,480.2,479.44,480.195,2176548.0,14331.0,479.861065
480.2,480.58,479.73,480.46,2509886.0,18757.0,480.17498
